Lib_GGA.65_S2_R1_001	Lib_GGA.71_S4_R1_001	Lib_GGA.88_S6_R1_001	Lib_GGA.90_S8_R1_001	Lib_GGA.64_S1_R1_001	Lib_GGA.70_S3_R1_001	Lib_GGA.87_S5_R1_001	Lib_GGA.89_S7_R1_001
DIXDC1	0.965893971829507	0.724513287015252	1.16152266385505	0.822159636459781	-0.980383059484144	-1.07180001135753	-0.596650386553413	-1.0252561017645
ITGAE	1.26640306362861	0.813563901871056	0.784992535622186	0.792234556966346	-0.617605906568292	-0.892615720827356	-1.13489872953144	-1.01207370116111
PMEPA1	0.98147112475525	0.96507159511888	0.939107313312607	0.849835371205791	-0.972508244027133	-0.858358140283324	-0.902959961025484	-1.00165905905659
TNS1	0.957920209626591	0.993651252432436	0.872560747094783	0.909878364363184	-0.940948132060421	-1.0366614529159	-0.837687571896449	-0.918713416644223
AQP3	1.18462481146623	0.751303726115885	1.05976632904808	0.644701836252014	-0.571022080384852	-1.13188830728873	-0.900560791636833	-1.0369255235718
LINC01871	-0.840743860782979	-0.653926692667708	-1.397843269463	-0.718113837271502	0.95041214657974	1.03784935030148	0.588219131982715	1.03414703132125
QPCT	0.627508050405295	0.909730759546555	1.47406114772038	0.514751501030623	-0.964462825134966	-0.977100500808726	-0.475555760940224	-1.10893237181894
PLAU	0.544250650431662	0.674121492017515	1.46126484877276	0.823040903895399	-1.07071243670275	-1.22330887440682	-0.426388607818683	-0.782267976189078
SLC26A4	-0.852394064773565	-0.826490446411265	-0.955042317853799	-1.07955389194975	0.988709210317446	1.03963531463467	0.711103319053492	0.97403287698277
PDE4A	-0.416690857582519	-0.830139197504611	-1.46595857964038	-0.705658431773223	1.18046042993939	0.883314064464687	0.230710150174945	1.1239624219217
LMNA	0.629153266606913	0.9092470781129	1.18335697110243	0.960589750755681	-1.0015900926791	-1.04220363185004	-0.713046081306853	-0.925507260741922
