Lib_GGA.65_S2_R1_001	Lib_GGA.71_S4_R1_001	Lib_GGA.88_S6_R1_001	Lib_GGA.90_S8_R1_001	Lib_GGA.64_S1_R1_001	Lib_GGA.70_S3_R1_001	Lib_GGA.87_S5_R1_001	Lib_GGA.89_S7_R1_001
DIXDC1	7.43328570463861	7.02833796413622	7.76147847977363	7.19215251543843	4.1681508541486	4.01478693386131	4.81191271512691	4.09287044347746
ITGAE	8.58706181421763	7.94276218822236	7.90211084411847	7.91241479315279	5.90649357414239	5.51520956994001	5.17048926949784	5.34524473793992
PMEPA1	4.79124148379767	4.75440908083497	4.69609479308828	4.49559513133892	0.402715892662566	0.659090478553203	0.558917347318884	0.337244834061302
TNS1	5.88150006510189	5.97225055536795	5.66470222027824	5.75948232734286	1.05871238730706	0.815617584845652	1.3209758345551	1.11518460772085
AQP3	6.6140819115418	5.90370455658392	6.40939157570793	5.72894368960746	3.73591180296094	2.81643966042477	3.19567306090633	2.97211962476745
LINC01871	4.80508080799893	5.07413852262122	4.0027354174276	4.98169495006599	7.38473848472617	7.51066724407777	6.86310106915682	7.50533509236135
QPCT	3.97075746730625	4.5056340885815	5.57516932275107	3.75705800159106	0.953608331191271	0.929657043622241	1.88019910558284	0.679805477967254
PLAU	5.14374305066606	5.43493168421233	7.19981744039702	5.76882988278965	1.52276940617423	1.18062680020903	2.9674337588729	2.16950232393581
SLC26A4	1.40024698900331	1.45433545370896	1.1859106620789	0.925922277956643	5.24459213497537	5.35092920176783	4.66493271281662	5.21394698237629
PDE4A	4.60714953967661	4.07159606864427	3.24799794483367	4.23284017033004	6.67599305216307	6.29108942075749	5.44574973074201	6.6028092916333
LMNA	9.91695831648991	10.1874228846006	10.4521092531557	10.237000466152	8.34227769074814	8.30306038968657	8.62090195237361	8.41574489864498
CLIC5	6.79981573078676	6.72256639272914	6.59497926592545	6.10772747118335	4.33018183524831	4.64570755510785	4.3615870138398	3.85854444425958
JUN	6.58400964076675	6.54281616670498	6.31102093657749	6.82339966251857	4.53168001642266	4.1707803323576	4.00206646977131	4.36984211884096
GPAT3	2.68123694756083	2.88630082022034	2.11200232484759	2.72991088582804	5.8556201124285	6.48601398970881	4.71344151795262	6.03134757881926
FRMD6	5.99968572493306	5.19974606901133	5.78685184077234	5.66474361303416	3.30724634773319	2.62657657721448	3.54178416321653	3.10421710176303
CXCL13	6.85074432280372	7.46881898674803	6.01171137464282	7.12943491807987	1.7656708241984	1.00963518416082	0.479543840033103	1.52657552784397
RASGRP3	6.32054263308676	7.17718363403407	7.69039383697441	6.79216209956783	3.63754436682047	4.49639737179764	4.75406174568799	3.34757171909754
